Name,Date,Season,Phase,Position,Team,Birthyear,Weight,Size,10m Off,20m Off,30m Off,5_10_5,10m Off_index,20m Off_index,30m Off_index,5_10_5_index,Speed_index,10m Off_index_distance,20m Off_index_distance,30m Off_index_distance,5_10_5_index_distance,speed_index_distance,CMJ W/kg,SJ W/kg,SL CMJ L,SL CMJ R,CMJ W/kg_index,SJ W/kg_index,SL CMJ L_index,SL CMJ R_index,power_index,CMJ W/kg_index_distance,SJ W/kg_index_distance,SL CMJ L_index_distance,SL CMJ R_index_distance,power_index_distance,WG Ppeak,WG Ppeak W/kg,3min MMP,3min W/kg,WG Pavg W/kg,WG Ppeak_index,WG Ppeak W/kg_index,3min MMP_index,3min W/kg_index,WG Pavg W/kg_index,Endurance_index,WG Ppeak_index_distance,WG Ppeak W/kg_index_distance,3min MMP_index_distance,3min W/kg_index_distance,WG Pavg W/kg_index_distance,endurance_index_distance,IMTP,IMTP_index,IMTP_index_distance,AD Mx F 60 L,AD Mx F 60 R,AB Mx F 60 L,AB Mx F 60 R,AD Mx F 60 L_index,AD Mx F 60 R_index,AB Mx F 60 L_index,AB Mx F 60 R_index,Hip_index,AD Mx F 60 L_index_distance,AD Mx F 60 R_index_distance,AB Mx F 60 L_index_distance,AB Mx F 60 R_index_distance,hip_index_distance,SH Int L,SH Int R,SH Ext L,SH Ext R,SH Int L_index,SH Int R_index,SH Ext L_index,SH Ext R_index,Shoulder_index,SH Int L_index_distance,SH Int R_index_distance,SH Ext L_index_distance,SH Ext R_index_distance,shoulder_index_distance,Improvement_Recommendation,Best_Skill,Improvement_Recommendation_Category,Best_Skill_Category,assignedLine
Y AS,2023-04-24,23/24,Pre-Season,W,NL,1990,81.3,181.0,1.83,3.11,,4.58,52.0,60.0,,58.0,57.0,0.0,-4.0,0.0,-3.0,0.0,60.5,,,,52.0,,,,52.0,7.200000000000003,0.0,0.0,0.0,10.0,1107.0,13.7,353.0,4.36,,20.0,40.0,24.0,35.0,,30.0,-25.200000000000003,-20.0,-19.0,-15.0,0.0,-16.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,WG Ppeak,power,endurance,power,
Y AS,2023-07-31,23/24,Pre-Season,W,NL,1990,85.0,182.0,1.78,2.96,,4.56,65.0,92.0,,61.0,73.0,8.400000000000006,28.0,0.0,0.0,12.0,66.7,59.3,,,71.0,44.0,,,58.0,26.200000000000003,7.0,0.0,0.0,16.0,1300.0,,401.0,4.67,,38.0,,43.0,48.0,,43.0,-7.200000000000003,0.0,0.0,-2.0,0.0,-3.0,,,0.0,475.0,492.0,553.625,574.625,53.0,56.0,63.0,69.0,60.0,-8.0,-6.0,19.0,23.5,6.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,AD Mx F 60 L,20m Off,endurance,power,
Y AS,2024-04-22,24/25,Pre-Season,W,NL,1990,83.9,181.0,1.7,,4.1,4.55,84.0,,79.0,62.0,75.0,27.40000000000001,0.0,17.0,1.0,14.0,66.1,58.4,40.3,42.0,69.0,41.0,61.0,68.0,60.0,24.200000000000003,4.0,25.0,35.0,18.0,1269.0,,379.0,4.57,9.32,35.0,,34.0,44.0,34.0,37.0,-10.200000000000005,0.0,-9.0,-6.0,-12.0,-9.0,3128.0,43.0,8.0,407.0,438.25,574.0,576.0,38.0,45.0,68.0,69.0,55.0,-23.0,-17.0,24.0,23.5,1.5,185.0,181.0,202.0,191.0,27.0,40.0,58.0,56.0,45.0,-1.0,-2.0,9.0,-1.0,1.0,AD Mx F 60 L,SL CMJ R,endurance,power,
Y AS,2024-06-24,24/25,Pre-Season,W,NL,1990,83.9,181.0,1.8,,4.15,4.47,60.0,,73.0,73.0,69.0,3.4000000000000057,0.0,11.0,12.0,8.0,64.1,62.9,43.8,41.5,63.0,54.0,77.0,66.0,65.0,18.200000000000003,17.0,41.0,33.0,23.0,1369.0,,,,10.41,44.0,,,,59.0,52.0,-1.2000000000000028,0.0,0.0,0.0,13.0,2.0,2983.0,35.0,0.0,500.0,518.0,641.0,655.0,58.0,62.0,87.0,90.0,74.0,-3.0,0.0,43.0,44.5,20.5,166.0,176.0,196.0,208.0,19.0,38.0,55.0,63.0,44.0,-9.0,-4.0,6.0,6.0,0.0,SH Int L,AB Mx F 60 R,IMTP,power,
Y AS,2024-08-07,24/25,Pre-Season,W,NL,1990,84.9,181.0,1.8,,4.14,4.5,60.0,,74.0,69.0,68.0,3.4000000000000057,0.0,12.0,8.0,7.0,59.5,60.3,40.7,41.5,49.0,47.0,62.0,66.0,56.0,4.200000000000003,10.0,26.0,33.0,14.0,1299.0,,375.0,4.52,8.51,37.0,,33.0,42.0,15.0,32.0,-8.200000000000003,0.0,-10.0,-8.0,-31.0,-14.0,3149.0,44.0,9.0,491.0,525.0,657.0,650.0,56.0,63.0,92.0,89.0,75.0,-5.0,1.0,48.0,43.5,21.5,183.0,190.0,196.0,227.0,26.0,44.0,55.0,71.0,49.0,-2.0,2.0,6.0,14.0,5.0,WG Pavg W/kg,AB Mx F 60 L,endurance,hip,
Z BE,2023-04-24,23/24,Pre-Season,W,NL,1991,104.3,183.5,1.99,3.35,,4.87,13.0,8.0,,19.0,13.0,-39.0,-56.0,0.0,-42.0,-44.0,45.7,,,,8.0,,,,8.0,-32.0,0.0,0.0,0.0,-27.0,1177.0,11.3,510.0,4.89,,26.0,13.0,88.0,57.0,,46.0,-19.200000000000003,-47.0,45.0,7.0,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,20m Off,3min MMP,speed,endurance,
Z BE,2023-07-31,23/24,Pre-Season,W,NL,1991,105.0,184.5,1.87,3.16,,4.62,43.0,49.0,,53.0,48.0,-9.0,-15.0,0.0,-8.0,-9.0,51.7,50.3,,,26.0,18.0,,,22.0,-14.0,-19.0,0.0,0.0,-13.0,1501.0,14.2952380952381,517.0,4.92,,56.0,47.0,91.0,58.0,,63.0,6.200000000000003,-13.0,48.0,8.0,0.0,13.0,,,0.0,617.0,656.0,537.75,597.75,84.0,92.0,58.0,75.0,77.0,23.0,30.0,14.0,29.5,23.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,SJ W/kg,3min MMP,power,hip,
Z BE,2024-04-22,24/25,Pre-Season,W,NL,1991,104.9,185.0,1.91,,4.52,4.83,33.0,,30.0,24.0,29.0,-19.0,0.0,-32.0,-37.0,-28.0,53.2,48.2,30.4,31.4,31.0,13.0,14.0,16.0,18.0,-9.0,-24.0,-22.0,-17.0,-17.0,1569.0,,480.0,4.85,8.21,63.0,,76.0,55.0,8.0,50.0,13.200000000000005,0.0,33.0,5.0,-38.0,0.0,3749.0,75.0,40.0,649.25,651.5,563.75,561.0,92.0,91.0,66.0,66.0,79.0,31.0,29.0,22.0,20.5,25.5,236.0,298.0,253.0,264.0,49.0,85.0,85.0,86.0,76.0,21.0,43.0,36.0,29.0,32.0,WG Pavg W/kg,SH Int R,speed,IMTP,
Z BE,2024-06-24,24/25,Pre-Season,W,NL,1991,103.9,185.0,1.85,,4.44,4.75,48.0,,40.0,35.0,41.0,-4.0,0.0,-22.0,-26.0,-16.0,52.7,49.0,31.0,31.2,29.0,15.0,17.0,15.0,19.0,-11.0,-22.0,-19.0,-18.0,-16.0,1602.0,,,,8.83,66.0,,,,23.0,44.0,16.200000000000003,0.0,0.0,0.0,-23.0,-2.0,3769.0,76.0,41.0,610.0,629.0,601.0,593.0,83.0,86.0,76.0,74.0,80.0,22.0,24.0,32.0,28.5,26.5,234.0,307.0,218.0,236.0,48.0,89.0,66.0,74.0,69.0,20.0,47.0,17.0,17.0,25.0,5_10_5,SH Int R,power,IMTP,
Z BE,2024-08-07,24/25,Pre-Season,W,NL,1991,102.2,184.5,1.84,,4.29,4.56,50.0,,57.0,61.0,56.0,-2.0,0.0,-5.0,0.0,-1.0,56.0,50.0,32.3,31.3,39.0,18.0,23.0,15.0,24.0,-1.0,-19.0,-13.0,-18.0,-11.0,1725.0,,518.0,5.1,9.86,77.0,,92.0,66.0,46.0,70.0,27.200000000000003,0.0,49.0,16.0,0.0,20.0,3765.0,76.0,41.0,624.0,621.0,521.0,517.0,86.0,84.0,54.0,54.0,70.0,25.0,22.0,10.0,8.5,16.5,265.0,280.0,245.0,251.0,61.0,78.0,81.0,81.0,75.0,33.0,36.0,32.0,24.0,31.0,SJ W/kg,3min MMP,power,IMTP,
